build,runs,win_rate,wilson_low,wilson_high,mean_upgrades,mean_essential_spending
flexible/air_focus/economy/cadence,256,0.5234375,0.4623612889416475,0.5838206926963967,5.765625,217.72262320079486
endurance/air_focus/protection/precision,256,0.5234375,0.4623612889416475,0.5838206926963967,5.6328125,190.11250877606497
reinforced/torpedo/economy/cadence,256,0.51953125,0.45849266507745623,0.5799923196209139,6.46484375,226.8941026876332
endurance/heavy/economy/precision,256,0.51171875,0.450766406732958,0.572324584086064,6.53515625,176.72995828844208
aviation/air_focus/economy/precision,256,0.5078125,0.4469087669627319,0.5684852269166163,5.71875,213.54887134641737
endurance/air_focus/control/cadence,256,0.50390625,0.4430547843724404,0.5646422125672337,5.59375,187.64168605496562
aviation/mixed/economy/cadence,256,0.5,0.43920445797238533,0.5607955420276147,6.41015625,192.77981708314888
flexible/torpedo/economy/cadence,256,0.49609375,0.4353577874327663,0.5569452156275596,6.484375,209.66969917696844
endurance/heavy/economy/cadence,256,0.49609375,0.4353577874327663,0.5569452156275596,6.45703125,178.3820574657192
aviation/mixed/economy/precision,256,0.4921875,0.4315147730833839,0.5530912330372681,6.44921875,190.87096060474815
fast/heavy/economy/precision,256,0.48046875,0.42000768037908615,0.5415073349225438,6.73828125,186.8474081949919
fast/heavy/economy/cadence,256,0.4765625,0.4161793073036034,0.5376387110583526,6.6953125,187.04729618163284
endurance/air_focus/protection/cadence,256,0.4765625,0.4161793073036034,0.5376387110583526,5.46484375,187.57785341604003
endurance/air_focus/economy/precision,256,0.4765625,0.4161793073036034,0.5376387110583526,5.5234375,191.472197873474
aviation/air_focus/economy/cadence,256,0.4375,0.37809824043040574,0.4987498085348101,5.578125,212.55743235937095
aviation/heavy/economy/cadence,256,0.43359375,0.3743105631303244,0.49484048889521737,6.36328125,186.20002756058065
aviation/heavy/economy/precision,256,0.4296875,0.3705266391091252,0.4909274159767426,6.4375,186.89830197936
endurance/torpedo/control/precision,256,0.41796875,0.3591975114566437,0.479165552810202,6.546875,192.1201049057604
endurance/air_focus/economy/cadence,256,0.4140625,0.3554287291479055,0.4752373381792662,5.3671875,189.54645039596465
reinforced/explosive/economy/precision,256,0.41015625,0.3516637683221053,0.4713053020653924,6.546875,209.62372812615408
flexible/explosive/protection/precision,256,0.33984375,0.28457056639746137,0.399852559075904,6.65234375,198.9091498243553
aviation/torpedo/protection/precision,256,0.33203125,0.27719837840199485,0.3918307531920225,6.38671875,208.71907870613657
flexible/explosive/control/cadence,256,0.25390625,0.20449781341092277,0.31059137938961423,6.703125,198.39207793166344
flexible/explosive/control/precision,256,0.25390625,0.20449781341092277,0.31059137938961423,6.7734375,198.3877932451434
flexible/explosive/protection/cadence,256,0.22265625,0.17600523398607779,0.27750798329706705,6.59765625,200.40571810716952
fast/explosive/protection/cadence,256,0.1796875,0.13750144557357782,0.23134480537315286,6.65625,196.81957687340858
aviation/torpedo/control/cadence,256,0.1796875,0.13750144557357782,0.23134480537315286,6.47265625,209.9887181871921
